"","simu","n_obs","mutation_rate","c","initial_trait_frequency","male_trait_first","male_trait_last","female_choice_first","female_choice_last","female_preference_last","mean_nb_meetings","nb_meetings_1","nb_matings_1","nb_females_meeting_1"
"197",197,15,0,0.5,0.0178571428571429,0.017639328584,0.017493291707,0.017513606161,0.018022336971,0,2.003630431,7.601,3.843,7.452
"198",198,20,0,0.5,0.0178571428571429,0.017513514987,0.017569771025,0.017395633685,0.018345862641,0,2.001310281,7.643,3.919,7.477
"199",199,25,0,0.5,0.0178571428571429,0.017733125894,0.017955655943,0.017630784887,0.017422033057,0,1.995425005,7.542,3.723,7.365
"200",200,30,0,0.5,0.0178571428571429,0.017828944625,0.017562530249,0.017337243976,0.017930238724,0,2.006708557,7.721,3.824,7.555
"201",201,0,0,0.6,0.0178571428571429,0.018042037937,0.018220550879,0.018412360098,0.019420961416,0.5002625793,2.07471835,8.118,4.138,7.925
"202",202,1,0,0.6,0.0178571428571429,0.018334953191,0.018421841135,0.018582472619,0.012560559122,0.01863554248,1.689197102,6.591,2.686,6.445
"203",203,5,0,0.6,0.0178571428571429,0.017745748651,0.017779287682,0.018120652382,0.012215056976,0.000113823173,1.680123909,6.521,2.601,6.394
"204",204,10,0,0.6,0.0178571428571429,0.018076879802,0.018111204838,0.018252085188,0.011672047795,0,1.677518503,6.376,2.483,6.243
"205",205,15,0,0.6,0.0178571428571429,0.017671622801,0.017888052667,0.017157154224,0.011863630218,0,1.674816354,6.311,2.532,6.166
"206",206,20,0,0.6,0.0178571428571429,0.017874756722,0.017958014558,0.018521431662,0.011840261175,0,1.671512173,6.261,2.526,6.128
"207",207,25,0,0.6,0.0178571428571429,0.017976145675,0.01775624946,0.017675262351,0.012094311208,0,1.678230596,6.44,2.571,6.294
